[3|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [12, 8, 13, 7], [20, 16, 21, 15], [16, 11, 17, 12], [18, 9, 19, 10], [10, 17, 11, 18], [8, 19, 9, 20], [22, 14, 1, 13], [14, 22, 15, 21]]|K3a1,K8a3]
[3|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 17, 9, 18], [10, 15, 11, 16], [12, 22, 13, 21], [14, 20, 15, 19], [16, 7, 17, 8], [18, 9, 19, 10], [20, 14, 21, 13], [22, 12, 1, 11]]|K3a1,K8a4]
[3|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 18, 9, 17], [10, 16, 11, 15], [12, 21, 13, 22], [14, 19, 15, 20], [16, 8, 17, 7], [18, 10, 19, 9], [20, 13, 21, 14], [22, 11, 1, 12]]|K3a1,mK8a4]
[7|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 13, 8, 12], [9, 15, 10, 14], [11, 18, 12, 19], [13, 9, 14, 8], [15, 21, 16, 20], [17, 1, 18, 22], [19, 10, 20, 11], [21, 17, 22, 16]]|K3a1,K8a5]
[-1|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 12, 8, 13], [9, 14, 10, 15], [11, 19, 12, 18], [13, 8, 14, 9], [15, 20, 16, 21], [17, 22, 18, 1], [19, 11, 20, 10], [21, 16, 22, 17]]|K3a1,mK8a5]
[7|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 15, 9, 16], [10, 20, 11, 19], [12, 22, 13, 21], [14, 18, 15, 17], [16, 7, 17, 8], [18, 14, 19, 13], [20, 12, 21, 11], [22, 10, 1, 9]]|K3a1,K8a6]
[-1|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 16, 9, 15], [10, 19, 11, 20], [12, 21, 13, 22], [14, 17, 15, 18], [16, 8, 17, 7], [18, 13, 19, 14], [20, 11, 21, 12], [22, 9, 1, 10]]|K3a1,mK8a6]
[5|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 16, 9, 15], [10, 19, 11, 20], [12, 22, 13, 21], [14, 8, 15, 7], [16, 12, 17, 11], [18, 9, 19, 10], [20, 17, 21, 18], [22, 14, 1, 13]]|K3a1,mK8a7]
[1|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 15, 9, 16], [10, 20, 11, 19], [12, 21, 13, 22], [14, 7, 15, 8], [16, 11, 17, 12], [18, 10, 19, 9], [20, 18, 21, 17], [22, 13, 1, 14]]|K3a1,K8a7]
[5|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 12, 8, 13], [9, 19, 10, 18], [11, 14, 12, 15], [13, 8, 14, 9], [15, 1, 16, 22], [17, 21, 18, 20], [19, 11, 20, 10], [21, 17, 22, 16]]|K3a1,mK8a8]
[1|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 13, 8, 12], [9, 18, 10, 19], [11, 15, 12, 14], [13, 9, 14, 8], [15, 22, 16, 1], [17, 20, 18, 21], [19, 10, 20, 11], [21, 16, 22, 17]]|K3a1,K8a8]
[3|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [12, 8, 13, 7], [20, 14, 21, 13], [16, 9, 17, 10], [8, 19, 9, 20], [18, 11, 19, 12], [10, 17, 11, 18], [22, 16, 1, 15], [14, 22, 15, 21]]|K3a1,K8a9]
[5|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 19, 9, 20], [10, 16, 11, 15], [12, 18, 13, 17], [14, 22, 15, 21], [16, 12, 17, 11], [18, 7, 19, 8], [20, 14, 21, 13], [22, 9, 1, 10]]|K3a1,mK8a10]
[1|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 20, 9, 19], [10, 15, 11, 16], [12, 17, 13, 18], [14, 21, 15, 22], [16, 11, 17, 12], [18, 8, 19, 7], [20, 13, 21, 14], [22, 10, 1, 9]]|K3a1,K8a10]
[7|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 16, 8, 17], [9, 19, 10, 18], [11, 21, 12, 20], [13, 1, 14, 22], [15, 8, 16, 9], [17, 15, 18, 14], [19, 13, 20, 12], [21, 11, 22, 10]]|K3a1,K8a11]
[-1|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 17, 8, 16], [9, 18, 10, 19], [11, 20, 12, 21], [13, 22, 14, 1], [15, 9, 16, 8], [17, 14, 18, 15], [19, 12, 20, 13], [21, 10, 22, 11]]|K3a1,mK8a11]
[3|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [10, 8, 11, 7], [16, 14, 17, 13], [14, 9, 15, 10], [8, 15, 9, 16], [20, 12, 21, 11], [22, 17, 1, 18], [18, 21, 19, 22], [12, 20, 13, 19]]|K3a1,K8a12]
[5|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 14, 8, 15], [9, 21, 10, 20], [11, 19, 12, 18], [13, 16, 14, 17], [15, 8, 16, 9], [17, 1, 18, 22], [19, 11, 20, 10], [21, 13, 22, 12]]|K3a1,mK8a13]
[1|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 15, 8, 14], [9, 20, 10, 21], [11, 18, 12, 19], [13, 17, 14, 16], [15, 9, 16, 8], [17, 22, 18, 1], [19, 10, 20, 11], [21, 12, 22, 13]]|K3a1,K8a13]
[7|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 18, 9, 17], [10, 14, 11, 13], [12, 21, 13, 22], [14, 20, 15, 19], [16, 8, 17, 7], [18, 16, 19, 15], [20, 10, 21, 9], [22, 11, 1, 12]]|K3a1,K8a14]
[-1|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 17, 9, 18], [10, 13, 11, 14], [12, 22, 13, 21], [14, 19, 15, 20], [16, 7, 17, 8], [18, 15, 19, 16], [20, 9, 21, 10], [22, 12, 1, 11]]|K3a1,mK8a14]
[11|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 13, 8, 12], [9, 21, 10, 20], [11, 15, 12, 14], [13, 9, 14, 8], [15, 19, 16, 18], [17, 1, 18, 22], [19, 11, 20, 10], [21, 17, 22, 16]]|K3a1,K8a15]
[-5|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 12, 8, 13], [9, 20, 10, 21], [11, 14, 12, 15], [13, 8, 14, 9], [15, 18, 16, 19], [17, 22, 18, 1], [19, 10, 20, 11], [21, 16, 22, 17]]|K3a1,mK8a15]
[5|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 14, 9, 13], [10, 15, 11, 16], [12, 8, 13, 7], [14, 19, 15, 20], [16, 22, 17, 21], [18, 11, 19, 12], [20, 10, 21, 9], [22, 18, 1, 17]]|K3a1,mK8a16]
[1|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 13, 9, 14], [10, 16, 11, 15], [12, 7, 13, 8], [14, 20, 15, 19], [16, 21, 17, 22], [18, 12, 19, 11], [20, 9, 21, 10], [22, 17, 1, 18]]|K3a1,K8a16]
[3|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [12, 8, 13, 7], [20, 14, 21, 13], [14, 9, 15, 10], [8, 19, 9, 20], [18, 11, 19, 12], [10, 15, 11, 16], [22, 18, 1, 17], [16, 22, 17, 21]]|K3a1,K8a17]
[3|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [12, 8, 13, 7], [14, 9, 15, 10], [22, 17, 1, 18], [8, 20, 9, 19], [10, 21, 11, 22], [16, 12, 17, 11], [18, 13, 19, 14], [20, 16, 21, 15]]|K3a1,K8a18]
[11|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 20, 9, 19], [11, 17, 12, 16], [13, 21, 14, 20], [15, 11, 16, 10], [17, 13, 18, 12], [18, 8, 19, 7], [21, 15, 22, 14], [22, 10, 1, 9]]|K3a1,K8n1]
[-5|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [8, 19, 9, 20], [11, 16, 12, 17], [13, 20, 14, 21], [15, 10, 16, 11], [17, 12, 18, 13], [18, 7, 19, 8], [21, 14, 22, 15], [22, 9, 1, 10]]|K3a1,mK8n1]
[5|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 12, 8, 13], [10, 20, 11, 19], [11, 14, 12, 15], [13, 8, 14, 9], [16, 22, 17, 21], [18, 16, 19, 15], [20, 10, 21, 9], [22, 18, 1, 17]]|K3a1,mK8n2]
[1|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 13, 8, 12], [10, 19, 11, 20], [11, 15, 12, 14], [13, 9, 14, 8], [16, 21, 17, 22], [18, 15, 19, 16], [20, 9, 21, 10], [22, 17, 1, 18]]|K3a1,K8n2]
[7|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 13, 8, 12], [10, 19, 11, 20], [11, 15, 12, 14], [13, 9, 14, 8], [15, 19, 16, 18], [17, 1, 18, 22], [20, 9, 21, 10], [21, 17, 22, 16]]|K3a1,K8n3]
[-1|[[1, 5, 2, 4], [3, 7, 4, 6], [5, 3, 6, 2], [7, 12, 8, 13], [10, 20, 11, 19], [11, 14, 12, 15], [13, 8, 14, 9], [15, 18, 16, 19], [17, 22, 18, 1], [20, 10, 21, 9], [21, 16, 22, 17]]|K3a1,mK8n3]
[-3|[[1, 4, 2, 5], [3, 6, 4, 1], [5, 2, 6, 3]]|mK3a1]
[-6|[[1, 4, 2, 5], [3, 6, 4, 7], [5, 2, 6, 3], [7, 10, 8, 11], [9, 12, 10, 1], [11, 8, 12, 9]]|mK3a1,mK3a1]
[-9|[[1, 4, 2, 5], [3, 6, 4, 7], [5, 2, 6, 3], [7, 10, 8, 11], [9, 12, 10, 13], [11, 8, 12, 9], [13, 16, 14, 17], [15, 18, 16, 1], [17, 14, 18, 15]]|mK3a1,mK3a1,mK3a1]
[-6|[[4, 2, 5, 1], [8, 6, 9, 5], [6, 3, 7, 4], [2, 7, 3, 8], [9, 12, 10, 13], [11, 14, 12, 15], [13, 10, 14, 11], [15, 18, 16, 19], [17, 20, 18, 1], [19, 16, 20, 17]]|K4a1,mK3a1,mK3a1]
[-1|[[2, 8, 3, 7], [4, 10, 5, 9], [6, 2, 7, 1], [8, 4, 9, 3], [10, 6, 11, 5], [11, 14, 12, 15], [13, 16, 14, 17], [15, 12, 16, 13], [17, 20, 18, 21], [19, 22, 20, 1], [21, 18, 22, 19]]|K5a1,mK3a1,mK3a1]
[-11|[[1, 4, 2, 5], [3, 6, 4, 7], [5, 2, 6, 3], [7, 10, 8, 11], [9, 12, 10, 13], [11, 8, 12, 9], [14, 19, 15, 20], [16, 21, 17, 22], [18, 13, 19, 14], [20, 15, 21, 16], [22, 17, 1, 18]]|mK3a1,mK3a1,mK5a1]
[-1|[[1, 5, 2, 4], [3, 9, 4, 8], [5, 11, 6, 10], [7, 3, 8, 2], [9, 7, 10, 6], [11, 14, 12, 15], [13, 16, 14, 17], [15, 12, 16, 13], [17, 20, 18, 21], [19, 22, 20, 1], [21, 18, 22, 19]]|K5a2,mK3a1,mK3a1]
[-11|[[1, 4, 2, 5], [3, 6, 4, 7], [5, 2, 6, 3], [7, 10, 8, 11], [9, 12, 10, 13], [11, 8, 12, 9], [13, 16, 14, 17], [15, 20, 16, 21], [17, 22, 18, 1], [19, 14, 20, 15], [21, 18, 22, 19]]|mK3a1,mK3a1,mK5a2]
[-3|[[4, 2, 5, 1], [8, 6, 9, 5], [6, 3, 7, 4], [2, 7, 3, 8], [9, 12, 10, 13], [11, 14, 12, 1], [13, 10, 14, 11]]|K4a1,mK3a1]
[-3|[[4, 2, 5, 1], [8, 6, 9, 5], [6, 3, 7, 4], [2, 7, 3, 8], [12, 10, 13, 9], [16, 14, 17, 13], [14, 11, 15, 12], [10, 15, 11, 16], [17, 20, 18, 21], [19, 22, 20, 1], [21, 18, 22, 19]]|K4a1,K4a1,mK3a1]
[2|[[2, 8, 3, 7], [4, 10, 5, 9], [6, 2, 7, 1], [8, 4, 9, 3], [10, 6, 11, 5], [11, 14, 12, 15], [13, 16, 14, 1], [15, 12, 16, 13]]|K5a1,mK3a1]
[-8|[[1, 4, 2, 5], [3, 6, 4, 7], [5, 2, 6, 3], [8, 13, 9, 14], [10, 15, 11, 16], [12, 7, 13, 8], [14, 9, 15, 10], [16, 11, 1, 12]]|mK3a1,mK5a1]
[2|[[1, 5, 2, 4], [3, 9, 4, 8], [5, 11, 6, 10], [7, 3, 8, 2], [9, 7, 10, 6], [11, 14, 12, 15], [13, 16, 14, 1], [15, 12, 16, 13]]|K5a2,mK3a1]
[-8|[[1, 4, 2, 5], [3, 6, 4, 7], [5, 2, 6, 3], [7, 10, 8, 11], [9, 14, 10, 15], [11, 16, 12, 1], [13, 8, 14, 9], [15, 12, 16, 13]]|mK3a1,mK5a2]
[-1|[[1, 7, 2, 6], [3, 10, 4, 11], [5, 3, 6, 2], [7, 13, 8, 12], [9, 4, 10, 5], [11, 9, 12, 8], [13, 16, 14, 17], [15, 18, 16, 1], [17, 14, 18, 15]]|K6a1,mK3a1]
[-5|[[1, 4, 2, 5], [3, 6, 4, 7], [5, 2, 6, 3], [7, 12, 8, 13], [9, 17, 10, 16], [11, 8, 12, 9], [13, 18, 14, 1], [15, 11, 16, 10], [17, 14, 18, 15]]|mK3a1,mK6a1]
[-1|[[1, 8, 2, 9], [3, 11, 4, 10], [5, 13, 6, 12], [7, 2, 8, 3], [9, 7, 10, 6], [11, 5, 12, 4], [13, 16, 14, 17], [15, 18, 16, 1], [17, 14, 18, 15]]|K6a2,mK3a1]
[-5|[[1, 4, 2, 5], [3, 6, 4, 7], [5, 2, 6, 3], [7, 15, 8, 14], [9, 16, 10, 17], [11, 18, 12, 1], [13, 9, 14, 8], [15, 12, 16, 13], [17, 10, 18, 11]]|mK3a1,mK6a2]
[-3|[[4, 2, 5, 1], [8, 4, 9, 3], [12, 9, 13, 10], [10, 5, 11, 6], [6, 11, 7, 12], [2, 8, 3, 7], [13, 16, 14, 17], [15, 18, 16, 1], [17, 14, 18, 15]]|K6a3,mK3a1]
